"Country Name","Country Code","Indicator Name","Indicator Code","1960","1961","1962","1963","1964","1965","1966","1967","1968","1969","1970","1971","1972","1973","1974","1975","1976","1977","1978","1979","1980","1981","1982","1983","1984","1985","1986","1987","1988","1989","1990","1991","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017","2018","2019","2020","2021",
"American Samoa","ASM","Agricultural land (sq. km)","AG.LND.AGRI.K2","","31.7","31.7","31.7","31.7","31.7","31.7","31.7","31.7","31.7","31.7","31.7","31.7","31.7","31.7","31.7","31.7","31.7","31.7","31.7","31.7","31.7","31.7","31.7","31.7","31.7","31.7","31.7","31.7","31.7","31.7","32.7","33.7","36.9","40.2","43.4","46.6","49.9","53.5","60.2","59.7","59.2","58.7","58.04","57","56","54.9","53.9","53","51.7","50.4","49.1","47.8","46.5","45.2","43.9","42.6","41.3","40.1","40.1","40.1","",
"Antigua and Barbuda","ATG","Agricultural land (sq. km)","AG.LND.AGRI.K2","","100","90","100","90","110","110","100","100","110","110","110","70","70","70","70","70","70","70","70","70","70","70","70","80","90","90","90","90","90","90","90","90","90","90","90","90","90","90","90","90","90","90","90","90","90","90","90","90","90","90","90","90","90","90","90","90","90","90","90","90","",
"Australia","AUS","Agricultural land (sq. km)","AG.LND.AGRI.K2","","4744844.445","4765929.315","4793695.782","4819038.096","4862591.91","4870285.257","4895805.639","5135695.611","5108880.189","4934324.985","4995361.667","4998150","4978970","5003570","4995470","5007420","4915100","4961000","4932380","4956380","4955650","4907720","4837890","4865580","4867910","4685410","4710200","4720520","4671040","4644370","4627820","4660040","4600970","4691430","4633880","4652300","4622330","4638810","4536930","4554690","4557000","4470000","4395000","3949060","4102300","4093020","3983555","3892880","3842570","3763720","3961210","3870760","3717750","3744230","3481190","3426020","3718370","3588950","3624770","3557750","",
"Austria","AUT","Agricultural land (sq. km)","AG.LND.AGRI.K2","","35554","35310","34898","34765","34642","34060","33737","33593","33511","33358","33209","33071","32222","32073","31895","31835","31776","31808","31429","31410","31554","31427","30259","30332","30375","30268","30280","30483","30506","30239","30369","30130","29990","29941","29811","29733","29646","29599","29552","29402","29161","29022","28852.3","28674","28568","28433","28301","28094","27950","27792","27573","27352","27164","27142","27184.5","26701.7","26546.2","26528.3","26512.1","26467.6","",
"Azerbaijan","AZE","Agricultural land (sq. km)","AG.LND.AGRI.K2","","44462","44462","44462","44462","44462","44462","44462","44462","44462","44462","44462","44462","44462","44462","44462","44462","44462","44462","44462","44462","44462","44462","44462","44462","44462","44462","44462","44462","44462","44462","44462","44462","44566","44860","44891","45262","45887","46821","46924","47404","47456","47449","47546","47549","47586","47560","47565","47567","47573","47668","47687","47683","47698","47697","47698","47730","47775","47795","47797","47801","",
"Burundi","BDI","Agricultural land (sq. km)","AG.LND.AGRI.K2","","15750","15900","16040","16050","16240","16210","16660","16760","18970","18800","18990","19060","20000","20300","20600","20950","21430","21200","21000","20880","20750","20600","20600","20600","20600","20820","20920","21050","21050","21100","21100","21200","21230","20730","20370","19930","19520","19130","18870","18670","18510","18340","18330","18480","18190","18220","18250","18280","18310","18330","18830","19330","20330","20330","20330","20330","20330","20330","20330","20330","",
"Belgium","BEL","Agricultural land (sq. km)","AG.LND.AGRI.K2","","18110","18160","17720","17610","17580","17550","17580","17520","17630","17630","17560","17480","17630","18010","17910","17810","17680","17760","16890","14710","14600","15310","15280","15240","15160","15100","15010","14960","14660","14430","14230","14710","14830","14920","14950","15010","15100","15180","15210","13896","13868","13891","13922","13913","13830","13800","13669","13653","13636","13557","13357","13320","13365","13313","13280","13508","13270","13540","13564.226","13646.093","",
"Benin","BEN","Agricultural land (sq. km)","AG.LND.AGRI.K2","","14420","14620","14820","15020","15220","15520","15920","16220","17070","17270","17770","18070","18270","18570","18970","19270","19570","19770","19970","20270","20570","20900","21000","21100","21300","21900","22000","22100","22200","22700","22800","22950","23200","24000","25200","27100","28900","30500","31100","31950","32650","33650","34670","34670","34840","33400","33500","35500","36500","36500","36500","37500","39500","39500","39500","39500","39500","39500","39500","39500","",
"Burkina Faso","BFA","Agricultural land (sq. km)","AG.LND.AGRI.K2","","81390","81490","81590","81690","81790","81900","82000","82100","82220","82360","82200","83020","83730","84530","85360","85850","86350","86850","87350","87850","88350","88850","89350","89850","90350","90850","91400","95640","96000","95750","95500","95250","95000","94310","94500","95500","98500","99700","99700","97700","105700","107700","111700","106700","109700","107940","110180","121425","118430","121430","118430","121430","123430","121430","121430","121430","121430","121430","121430","121430","",
"Bangladesh","BGD","Agricultural land (sq. km)","AG.LND.AGRI.K2","","94800","94770","94800","95200","96370","96500","96950","96690","96750","96970","96950","99910","99890","99890","100040","99980","99910","99870","99830","99870","99810","99780","99640","100600","100270","100410","101150","104270","104430","103860","103200","95490","94460","93580","93740","93270","93650","94340","94860","94000","94030","93530","93280","93230","93110","92800","92660","92530","92460","92410","91280","91230","92780","93150","94242.4","95022.1","95413.3","96023","98450","99010","",
"Bulgaria","BGR","Agricultural land (sq. km)","AG.LND.AGRI.K2","","56730","56850","56930","57720","57930","58020","58630","58810","60220","60100","60090","60220","59820","60380","59550","61980","62060","62110","62060","61810","61790","61820","61770","61720","61690","61660","61660","61620","61680","61590","61610","61540","61210","61590","61640","61640","62030","56450","56790","55820","54980","53250","53260","53300","52650","51900","51160","51010","50300","50520","50880","51230","49950","49770","50119","50210","50295.2","50300","50370","50470","",
"Bahrain","BHR","Agricultural land (sq. km)","AG.LND.AGRI.K2","","70","70","70","70","70","70","70","70","70","70","70","70","70","70","80","100","100","100","100","100","90","80","80","80","80","80","80","80","80","80","80","90","90","90","90","90","90","90","100","92","92","92","89","87","87","85.5","84","82","83.6","86","86","86","86","86","86","86","86","86","86","86","",
"Bahamas, The","BHS","Agricultural land (sq. km)","AG.LND.AGRI.K2","","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100","110","110","110","110","110","110","110","110","110","120","120","120","120","120","120","120","120","120","120","120","120","120","120","120","130","130","130","130","130","130","130","130","130","150","150","140","140","140","140","140","140","140","140","140","140","",
